,User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Hour,Month,Year,Charging Duration,Duration_Hour,Duration_Rate,Hour_Rate
0,0,0,42.2,301,1,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492677,0.5913634253585007,93.40360882296426,13.087716791774506,1,5,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,0,1,0,1,2024,0.65,0.0,60.71234573492677,0.0
1,432,2,50.0,339,4,2024-01-01 01:00:00,2024-01-01 03:01:00,12.339275203733752,3.133652052688084,6.11864886135558,21.12844792913739,2,1,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3.0,1,0,1,1,2024,2.0166666666666666,2.0166666666666666,12.339275203733752,6.11864886135558
2,543,1,65.0,83,4,2024-01-01 02:00:00,2024-01-01 04:48:00,19.12887570011548,2.4526527258367823,6.831741321469814,35.66727042356739,2,4,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,2,1,2,1,2024,2.8,5.6,19.12887570011548,13.663482642939629
3,654,2,50.0,232,1,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782398845503,1.266430804620451,21.475087564447303,13.036238833914622,1,2,83.12000296074223,99.62432763119423,199.5777845163286,38.31631316036344,1.0,1,2,3,1,2024,3.7,11.100000000000001,79.45782398845503,64.4252626933419
4,765,2,50.0,9,2,2024-01-01 04:00:00,2024-01-01 05:46:00,19.62910416772725,2.0197650865894614,11.110813679845613,10.161471171031415,2,2,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027249213,1.0,1,2,4,1,2024,1.7666666666666666,7.066666666666666,19.62910416772725,44.44325471938245
5,876,3,40.0,241,4,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714248533,1.1676401541014236,19.929755604224002,36.90034077796173,1,2,75.21774833696946,71.98228757123687,143.68004610728445,-5.274217796522686,0.0,0,2,5,1,2024,2.1666666666666665,10.833333333333332,43.18113714248533,99.64877802112001
6,987,1,65.0,64,1,2024-01-01 06:00:00,2024-01-01 07:53:00,36.862139988267536,3.5396190263161467,19.57281769288542,22.21422517569784,1,0,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4.0,2,1,6,1,2024,1.8833333333333333,11.3,36.862139988267536,117.4369061573125
7,1098,1,65.0,208,2,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839947,2.6553964456130235,13.910166718486341,9.796821321322032,0,1,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,2,2,7,1,2024,3.7,25.900000000000002,51.46761685839947,97.37116702940439
8,1209,1,65.0,404,2,2024-01-01 08:00:00,2024-01-01 09:21:00,43.59237228216989,1.724203599132774,32.29064613494066,32.465005072088225,1,6,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4.0,1,1,8,1,2024,1.35,10.8,43.59237228216989,258.32516907952527
9,1,2,50.0,364,0,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745126785,2.0268746909843576,21.125519853018172,21.312302451155745,2,6,27.399454625609152,70.05338137780706,54.00630919992556,27.512019364625917,2.830381306943589,0,1,9,1,2024,3.7333333333333334,33.6,78.86860745126785,190.12967867716355
10,112,0,42.2,109,2,2024-01-01 10:00:00,2024-01-01 13:59:00,18.20619747737872,2.6486354477276968,4.570593508965369,38.221230704051806,3,4,76.08656557040186,82.2655816267944,64.63464374887128,0.5004335643954789,3.0,0,0,10,1,2024,3.9833333333333334,39.833333333333336,18.20619747737872,45.70593508965369
11,223,1,65.0,439,4,2024-01-01 11:00:00,2024-01-01 14:55:00,22.564929484106763,2.0578886215204486,5.7612585916868335,14.0508613520737,1,3,14.618902372078484,85.85749415419053,194.76380668173772,34.26261127319235,0.0,0,2,11,1,2024,3.9166666666666665,43.08333333333333,22.564929484106763,63.373844508555166
12,334,2,50.0,62,4,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516025,3.0655847520228034,34.256452908516025,10.972135997218215,0,1,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0.0,2,0,12,1,2024,1.0,12.0,34.256452908516025,411.0774349021923
13,366,3,40.0,232,1,2024-01-01 13:00:00,2024-01-01 15:54:00,16.56106432522506,3.5909657181461028,5.710711836284504,37.44185660286842,2,0,25.775415389763285,69.2012290988145,159.2316102189639,34.11034863859677,7.0,2,1,13,1,2024,2.9,37.699999999999996,16.56106432522506,74.23925387169855
